1,わたし,私,我,1,"je, moi",,,I (fem),5
2,わたしたち,,我們,1,nous,,,"we, us",5
3,あなた,,你， 妳,1,"tu, toi",,,,5
4,あのひと,あの人,他， 她， 那個人,1,"il, elle, cette personne",,,,5
5,みなさん,皆さん,各位， 大家,1,tout le monde,,,everyone,5
6,～さん,,~先生， ~小姐， ~女士,1,"Mr, Mme, Mlle",,,,5
7,~ちゅん,,（用語小孩子的名字後）,1,suffixe pour enfants,,,,5
8,～くん,～君,~君 （用於男孩的名字後),1,suffixe pour garçons,,,,5
9,～じん,～人,(表國籍）,1,suffixe pour nationalité,,,,5
10,せんせい,先生,老師， 教導者,1,enseignant,un,,"teacher, doctor",5
11,きょうし,教師,教師,1,salle de classe,une,,teacher (classroom),5
12,がくせい,学生,學生,1,étudiant,un,,student,5
13,かいしゃいん,会社員,公司職員,1,employé,un,,,5
14,しゃいん,社員,~公司的職員（和公司的名稱一起使用，如：IMCの　じゃいん）,1,employé de [nom d'entreprise],un,,,5
15,ぎんこういん,銀行員,銀行員,1,banquier,un,1,,5
16,いしゃ,医者,醫生,1,médecin,un,,medical doctor,5
17,けんきゅうしゃ,研究者,研究人員,1,chercheur,un,2,,5
18,エンジニア,,工程師,1,ingénieur,un,2,,5
19,だいがく,大学,大學,1,université,une,,university,5
20,びょういん,病院,醫院,1,hopital,un,5,hospital,5
21,でんき,電気,電， 電燈,1,"lampe, lumiére","une,une",,"electricity,electric light",5
22,だれ（どなた）,,誰（哪位）（どなた是禮貌形）,1,qui?,,,,5
23,。。。さい,。。。歳,。。。歲,1,...an(s),,,,5
24,なんさい,何歳,幾歲,1,quel age?,,,,5
25,はい,,是， 對,1,oui,,,,5
26,いいえ,,不， 不是,1,non,,,,5
27,しつれいですが,失礼ですが,冒昧請教一下,1,"excusez-moi,mais/pardon",,,,5
28,おなまえは？,お名前は？,您貴姓？,1,votre nom est ..?,,,,5
29,はじめまして,初めまして,初次見面。（第一次見面時的寒暄),1,enchanté de vous connaitre.,,,,5
30,どうぞよろしく「おねがいします」。,で鵜祖よろしく『お願いします』,請多關照。（第一次見面的問候語）,1,heureux de faire votre connaissance.,,,,5
31,こちらは　～さんです。,,這位是~先生/小姐。,1,cette personne (poli) est monsieur-madame ...,,,,5
32,～から　きました。,～から　来ました。,我從~來,1,je viens de (pays),,,,5
33,アメリカ,,美國,1,Amérique,les,25,America,5
34,イギリス,,英國,1,Angleterre,l' (fem,25,,5
35,インド,,印度,1,Inde,l' (fem),25,India,5
36,インドネシア,,印尼,1,Indonésie,l' (fem),25,,5
37,かんこく,韓国,韓國,1,Corée,la,,Korea,5
38,タイ,,泰國,1,Thaïlande,la,,,5
39,ちゅうごく,中国,中國大陸,1,Chine,la,,China,5
40,ドイツ,,德國,1,Allemagne,l' (fem),,Germany,5
41,にほん,日本,日本,1,Japon,le,,Japan,5
42,フランス,,法國,1,France,la,,France,5
43,ブラジル,,巴西,1,Brésil,le,,Brazil,5
44,さくらたいがく,さくら大学,櫻花大學,1,Univ. Sakura,,,,
45,ふじだいがく,富士大学,富士大學,1,Univ. Fuji,,,,
46,これ,,這 （事物近一方）,2,Ceci,,,this,5
47,それ,,那 （事物近對方）,2,cela,,,that,5
48,あれ,,那 （事物在遠方）,2,Cela là-bas,,,,5
49,この~,,這~ （近一方）,2,"Ce,cet, cette (ci)",,,this,5
50,その~,,那~ （近對方）,2,"Ce,cet,cette (là)",,,that,5
51,あの~,,那~ （遠方）,2,"Ce,cet, cette (là-bas)",,,,5
52,ほん,本,書本， 書籍,2,livre,un,,book,5
53,じしょ,辞書,辭典,2,dictionnaire,un,,dictionary,5
54,ざっし,雑誌,雜誌,2,magazine,un,,magazine,5
55,しんぶん,新聞,報紙,2,journal,un,,newspaper,5
56,ノート,,筆記本,2,cahier de notes,un,,,5
57,てちょう,手帳,記事本,2,"carnet, agenda, calepin","un,un,un",,notebook,5
58,めいし,名刺,名片,2,carte de visite,une,0,business card,5
59,カード,,卡片,2,carte,une,,,5
60,テレホンカード,,電話卡,2,carte de téléphone,une,,,5
61,えんぴつ,鉛筆,鉛筆,2,crayon,un,,pencil,5
62,ボールペン,,原子筆,2,stylo bille,un,,,5
63,シャープペンシル,,自動鉛筆,2,critérium,un,,,5
64,かぎ,,鑰匙,2,clé,une,,key,5
65,とけい,時計,鐘錶,2,montre  (f),une,,watch,5
66,かさ,傘,傘,2,parapluie,un,,umbrella,5
67,かばん,,書包， 手提包， 皮包,2,sac à dos,un,,backpack,5
68,「カセット」テープ,,錄音帶,2,cassette audio,une,,tape,5
69,テープレコーダー,,錄音機,2,"magnétophone, enregistreur","un,un",,tape recorder,5
70,テレビ,,電視,2,télévision  (f),une,0,television,5
71,ラジオ,,收音機,2,radio  (f),une,,radio,5
72,カメラ,,照相機,2,appareil photo,un,25,camera,5
73,コンピューター,,電腦,2,ordinateur,un,,computer,5
74,じどうしゃ,自動車,汽車,2,automobile,une,,automobile,5
75,つくえ,机,桌子,2,"bureau, table de travail",une,,desk,5
76,いす,,椅子,2,chaise,une,,chair,5
77,チョコレート,,巧克力,2,chocolat,un,7,chocolate,5
78,コーヒー,,咖啡,2,café,un,7,coffee,5
79,えいご,英語,英語,2,anglais ( langue),l' (masc),,English language,5
80,にほんご,日本語,日語,2,japonais ( langue),le,,Japanese language,5
81,～ご,～語,~語,2,"langue, langage","une,un",,language,5
82,なん,何,什麼,2,quoi,,,what,5
83,そう,,是的。,2,"oui, c'est ça",,,,5
84,ちがいます。,違います。,不對。/不是。,2,"non, incorrect",,,"no, not correct",5
85,そうですか。,,我了解了/ 是嗎？,2,,,,,5
86,あのう,,嗯（用於表示躊躇),2,,,,,5
87,ほんの　きもちです。,ほんの　気持ちです。,小意思。/ 只是一點心意。,2,,,,,5
88,どうぞ。,,請。/給你。,2,,,,,5
89,どうも。,,謝了。,2,merci,,,thanks,5
90,「どうも」ありがとう「ございます」。,,（非常）謝謝你。,2,merci beaucoup,,,thanks a lot,5
91,いきます,行きます,去,5,aller,,,to go,5
92,きます,来ます,來,5,venir,,,to come,5
93,かえります,帰ります,回家， 回去,5,rentrer,,,to go back,5
94,がっこう,学校,學校,5,"école, établissement scolaire","une, un",8,school,5
95,スーパー,,超級市場,5,supermarché,un,5,,5
96,えき,駅,火車站,5,gare,une,5,station,5
97,ひこうき,飛行機,飛機,5,avion,un,5,airfly,5
98,ふね,船,船,5,bateau,un,5,boat,5
99,でんしゃ,電車,電車,5,"train électrique, tramway","un,un",5,electric train,5
100,ちかてつ,地下鉄,地下鐵,5,metro,un,5,underground train,5
101,しんかんせん,新幹線,新幹線,5,"TGV, Shinkansen","un,un",5,"bullet train (very high speed),shinkansen",5
102,パス,,公車， 巴士,5,bus,un,5,,5
103,タケシー,,計程車,5,taxi,un,5,,5
104,じてんしゃ,自転車,自行車， 腳踏車,5,vélo,un,5,bicycle,5
105,あるいて,歩いて,步行,5,,,,,5
106,ひと,人,人,5,personne,une,,"man, person, people",5
107,ともだち,友達,朋友,5,ami,un,,friend,5
108,かれ,彼,他， 男朋友， 情人,5,,,,"he,boyfriend",5
109,かのじょ,彼女,她， 女朋友， 情人,5,"amie, petite amie","une,une",,girl friend,5
110,かぞく,家族,家人， 家屬,5,famille,une,,family,5
111,ひとりで,一人で,一個人， 獨自,5,seul,,,alone,5
112,せんしゅう,先週,上週， 上星期,5,semaine dernière,la,19,last week,5
113,こんしゅう,今週,本週， 這星期,5,cette semaine,,19,this week,5
114,らいしゅう,来週,下週， 下星期,5,semaine prochaine,la,19,next week,5
115,せんげつ,先月,上個月,5,mois dernier,le,19,last month,5
116,こんげつ,今月,這個月,5,"ce mois, ce mois-ci",,19,this month,5
117,らいげつ,来月,下個月,5,mois prochain,le,19,next month,5
118,きょねん,去年,去年,5,année dernière,l' (fem),19,last year,5
119,ことし,,今年,5,cette année,,19,this year,5
120,らいねん,来年,明年,5,année prochaine (f),l' (fem),19,next year,5
121,。。。がつ,。。。月,。。。月,5,suffixe pour mois de l'année,,19,,5
122,なんがつ,何月,幾月,5,,,19,,5
123,ついたち,一日,一日， 一號,5,le premier (du mois),,19,"1. one day, 2. first of month",5
124,ふつか,二日,二日， 二號,5,le deux du mois,,19,"two days, second day of the month",5
125,みっか,3日,三日， 三號,5,le trois du mois,,19,,5
126,よっか,4日,四日， 四號,5,le quatre du mois,,19,,5
127,いつか,5日,五日， 五號,5,le cinq du mois,,19,,5
128,むいか,6日,六日， 六號,5,le six du mois,,19,,5
129,なのか,七日,七日， 七號,5,le sept du mois,,19,"seven days, the seventh day (of the month)",5
130,ようか,八日,八日， 八號,5,le huit du mois,,19,"eight days, eighth day of the month",5
131,ここのか,9日,九日， 九號,5,le neuf du mois,,19,ninth day of the month,5
132,とおか,十日,十日， 十號,5,le dix du mois,,19,the tenth of the month,5
133,じゅうよっか,１4日,十四日， 十四號,5,le quatorze du mois,,19,,5
134,はつか,20日,二十日， 二十號,5,le vingt du mois,,19,,5
135,にじゅうよっか,二十4日,二十四日， 二十四號,5,le vingt-quatre du mois,,19,,5
136,。。。にち,。。。日,。。。日， 。。。號,5,suffixe pour jour du mois,,19,,5
137,なんにち,何日,幾日， 幾號,5,le combien du mois,,19,,5
138,いつ,,什麼時候,5,quand,,19,,5
139,たんじょうび,誕生日,生日,5,anniversaire,un,19,birthday,5
140,ふつう,普通,普通車,5,,,,,5
141,きゅうこう,急行,快車,5,,,,"speedy, express",5
142,とっきゅう,特急,特快車,5,,,,,5
143,つぎの,次の,下一個， 下一次,5,"suivant, prochain","un,un",19,"following,next",5
144,おきます,起きます,起床， 起來,4,"se lever, se reveiller",,,,5
145,ねます,寝ます,睡覺， 就寢,4,dormir,,,to sleep,5
146,はたらきます,働きます,工作,4,travailler,,,to work,5
147,やすみます,休みます,休息,4,se reposer,,,to rest,5
148,べんきょうします,勉強します,唸書， 用功,4,étudier,,8,to study,5
149,おわります,終わります,結束,4,"finir,accomplir",,,to finish,5
150,デパート,,百貨公司,4,centre commercial (m),,0,,5
151,ぎんこう,銀行,銀行,4,banque (f),une,5,bank,5
152,ゆうびんきょく,郵便局,郵局,4,bureau de poste,un,5,post office,5
153,としょかん,図書館,圖書館,4,bibliothèque,une,5,library,5
154,びじゅつかん,美術館,美術館,4,gallerie d'art,une,5,art gallery,5
155,いま,今,見在,4,maintenant (adv),,19,now,5
156,。。。じ,。。。時,。。。點（鐘）,4,heure(s),,19,,5
157,。。。ふん　（。ぶん）,。。。分,。。。分 （鐘）,4,minute(s),une,19,,5
158,はん,半,半,4,"moitié (f), demi","une,",19,half,5
159,なんじ,何時,幾點,4,Quelle heure,,19,"when, how soon",5
160,なんぷん,何分,幾分,4,Combien de minutes,,19,"what minute?,how many minutes?",5
161,ごぜん,午前,上午,4,matin,un,19,morning,5
162,ごご,午後,下午,4,"après midi (m,f)",un (une),19,afternoon,5
163,あさ,朝,早上,4,matinée (f),une,19,,5
164,ひる,昼,白天， 中午,4,journée (f),une,19,"noon, daytime",5
165,ばん　（よる）,晩　(夜）,晚上， 夜晚,4,"soir (m), soirée(f)","un,une",19,,5
166,おととい,,前天,4,avant-hier,,19,,5
167,きのう,昨日,昨天,4,hier,,19,yesterday,5
168,きょう,今日,今天,4,aujourd'hui,,19,today,5
169,あした,,明天,4,demain,,19,tommorow,5
170,あさって,,後天,4,après demain,,19,the day after tommorow,5
171,けさ,,今天早上,4,ce matin,,19,this morning,5
172,こんばん,今晩,今天晚上,4,ce soir,,19,this evening,5
173,やすみ,休み,休息， 休假,4,"repos (m), congé (m)","un,un",,"rest,holiday",5
174,ひるやすみ,昼休み,午休,4,pause de midi (f),une,19,noon break,5
175,まいあさ,毎朝,每天早上,4,chaque matin,,19,every morning,5
176,まいばん,毎晩,每天晚上,4,chaque soir,,19,every evening,5
177,まいにち,毎日,每天,4,chaque jour,,19,every day,5
178,げつようび,月曜日,星期一,4,Lundi,un,19,Monday,5
179,かようび,火曜日,星期二,4,Mardi,un,19,Tuesday,5
180,すいようび,水曜日,星期三,4,Mercredi,un,19,Wednesday,5
181,もくようび,木曜日,星期四,4,Jeudi,un,19,Thursday,5
